MSU,UZ,NUST,CUT,BUSE,GZU
281,1221,232,230,203,124
278,1187,206,226,180,121
267,1187,205,222,163,120
235,1160,201,211,162,111
230,1023,199,187,148,110
212,1012,191,171,145,100
204,944,187,155,144,94
203,900,185,151,144,85
183,889,181,146,141,75
155,837,179,140,138,64
153,829,173,136,130,64
151,813,169,111,106,61
150,802,169,109,103,61
145,783,161,107,98,59
138,747,160,104,97,59
134,696,157,85,93,56
134,674,156,84,90,54
130,635,150,78,85,40
128,634,145,66,75,40
124,614,130,65,69,37
120,604,124,63,67,36
116,572,124,62,63,34
113,571,123,53,59,30
112,566,114,51,57,28
99,559,110,49,52,25
93,549,102,44,51,24
92,540,101,43,50,24
91,539,94,40,49,23
86,538,93,37,48,22
86,533,91,36,47,22
